公司名称,公司行业,公司链接,职位,地区,薪资,标签,职位类型
万得,科技金融,https://www.liepin.com/company/8055349/,AI算法工程师（大模型）,南京-建邺区,17-24k·14薪,['硕士'],应届
速腾聚创,智能硬件,https://www.liepin.com/company/8447141/,数据闭环工程师（校招） (MJ001584),深圳-南山区,25-30k,['本科'],应届
蚂蚁集团,科技金融,https://www.liepin.com/company/8968236/,OceanBase平台开发长期实习生,杭州-西湖区,8-12k,['硕士'],应届
科磊半导体设备技术(上海)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/7910742/,Software Engineer 软件工程师,合肥-蜀山区,20-30k·13薪,['硕士'],应届
维信金科,担保/拍卖/典当,https://www.liepin.com/company/8718437/,管培生-风控策略/模型方向,深圳-南山区,12-18k,['本科'],应届
福建永福电力设计股份有限公司,建筑/工程设计,https://www.liepin.com/company/10115497/,海洋水文工程师,福州,9-13k,['本科'],应届
理想汽车,整车制造,https://www.liepin.com/company/8572825/,海外平台系统工程师（校招）,北京,20-40k,['硕士'],应届
华林证券,基金/证券/期货,https://www.liepin.com/company/8105367/,销售交易岗（校招）,上海-浦东新区,薪资面议,['本科'],应届
威海恒旺光伏发电服务有限公司,新能源,https://www.liepin.com/company/13841137/,急聘前台接待员,济南-市中区,4-6k,[],无
中美冠科生物技术(太仓)有限公司,制药,https://www.liepin.com/company/8272145/,生物信息学研究助理,苏州-工业园区,薪资面议,['本科'],应届
恒瑞医药-江苏科信医药销售有限公司,制药,https://www.liepin.com/company/9649909/,战略管培生 (MJ009149),上海-浦东新区,13-23k·13薪,['硕士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,智能汽车远程诊断及预测AI专家,深圳,40-50k·16薪,['博士'],应届
作业帮教育科技有限公司,在线教育,https://www.liepin.com/company/9428498/,多模态算法工程师,北京-海淀区,40-70k·15薪,['博士'],应届
作业帮教育科技有限公司,在线教育,https://www.liepin.com/company/9428498/,大模型算法工程师,北京-海淀区,40-70k·15薪,['博士'],应届
速腾聚创,智能硬件,https://www.liepin.com/company/8447141/,数据算法工程师（校招）,深圳-南山区,25-28k,['本科'],应届
维信金科,担保/拍卖/典当,https://www.liepin.com/company/8718437/,技术培训生-研发方向,上海-虹口区,12-18k,['本科'],应届
敦泰科技,电子/半导体/集成电路,https://www.liepin.com/company/8249987/,2025届应届生——系统算法工程师,深圳-南山区,18-24k·13薪,['硕士'],应届
广州衡友贸易有限公司,服装/纺织/皮革,https://www.liepin.com/company/13874191/,会计,广州-天河区,6-8k,[],无
经纬恒润,电子/半导体/集成电路,https://www.liepin.com/company/973634/,智能座舱仿真工程师-campus-2025,上海-徐汇区,15-20k·15薪,['本科'],应届
